description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Magic Light Plated Boots + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Boots	1				100					6	boot,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	vit%			3	10	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Light Plated Boots + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Boots	1				100					4	boot,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	vit%			3	10	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Gloves	1				100					4	glov,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8																																																																0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Gloves	1				100					6	glov,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Gloves	1				100					4	glov,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Belt	1				100					4	belt,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8																																																																0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Belt	1				100					6	belt,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Belt	1				100					4	belt,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Spiked Shield + 1 Jewel + 1 FalRune + 1 Ascended Ruby -> Ascended Blood Shield	1				100					4	shld,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8																																																																0
1 Magic Spiked Shield + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Shield	1				100					6	shld,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Spiked Shield + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Shield	1				100					4	shld,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Body	1				100					4	tors,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8																																																																0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Body	1				100					6	tors,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Body	1				100					4	tors,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Amulet	1				100					4	amul,mag	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	move1			10	25	pierce-dmg	100		2	8																																																																0
1 Magic Ring + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Ring	1				100					4	ring,mag	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	str%			1	10	pierce-dmg	100		2	8																																																																0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby -> Ascended Blood Weapon	1				100					4	weap,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8																																																																0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Weapon	1				100					6	weap,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby -> Ascended Blood Weapon	1				100					4	weap,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Helm	1				100					4	helm,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Helm	1				100					6	helm,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Helm	1				100					4	helm,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Boots	1				100					4	boot,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12																																																																0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Boots	1				100					6	boot,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Boots	1				100					4	boot,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Gloves	1				100					4	glov,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Gloves	1				100					6	glov,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Gloves	1				100					4	glov,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Belt	1				100					4	belt,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Belt	1				100					6	belt,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Belt	1				100					4	belt,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Shield	1				100					4	shld,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	allskills	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Shield	1				100					6	shld,mag,noe	jew	r17	gav	mls	r05		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Shield	1				100					4	shld,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Body	1				100					4	tors,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12																																																																0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Body	1				100					6	tors,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Body	1				100					4	tors,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Amulet	1				100					4	amul,mag	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			5	10	gethit-skill	100	235	5	12																																																																0
1 Magic Ring + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Ring	1				100					4	ring,mag	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12																																																																0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Weapon	1				100					4	weap,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Weapon	1				100					6	weap,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Weapon	1				100					4	weap,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Helm	1				100					4	helm,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Helm	1				100					6	helm,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Helm	1				100					4	helm,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Boots	1				100					4	boot,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Boots	1				100					6	boot,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Boots	1				100					4	boot,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd -> Ascended Safety Gloves	1				100					4	glov,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Gloves	1				100					6	glov,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd -> Ascended Safety Gloves	1				100					4	glov,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Belt	1				100					4	belt,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Belt	1				100					6	belt,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Belt	1				100					4	belt,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Shield	1				100					4	shld,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Shield	1				100					6	shld,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Shield	1				100					4	shld,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25	ethereal	100		1	1																																																											0
1 Magic Breast Plate + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Body	1				100					4	tors,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	30	res-curse	100		10	10	res-all			10	30	red-dmg%			5	30																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Lem Rune + 1 Chasi's Malus -> Ascended Safety Body	1				100					6	tors,mag,noe	jew	r20	geg	mls	r05		usetype,crf		50	50	red-dmg%			5	30	res-curse	100		10	10	res-all			10	30	red-dmg%			5	30	ethereal	100		1	1																																																											0
1 Magic Breast Plate + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Body	1				100					4	tors,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	30	res-curse	100		10	10	res-all			10	30	red-dmg%			5	30	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Amulet	1				100					4	amul,mag	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	nofreeze	100		1	1	gethit-skill	100	87	15	5																																																											0
1 Magic Ring + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Ring	1				100					4	ring,mag	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	all-stats			5	10	hp/lvl	100	16			gethit-skill	100	87	15	5																																																											0
1 Magic Spear + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Weapon	1				100					4	weap,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	swing3			20	40	dmg%			75	125																																																																0
1 Magic Spear + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Weapon	1				100					6	weap,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	swing3			20	40	dmg%			75	125	ethereal	100		1	1																																																											0
1 Magic Spear + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Weapon	1				100					4	weap,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	swing3			20	40	dmg%			75	125	ethereal	100		1	1																																																											0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Set Weapon -> Exceptional Set Weapon	0	1	2		100					4	"weap,bas,set"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Set Armor -> Exceptional Set Armor	0	1	2		100					4	"armo,bas,set"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	0	1	2		100					4	"weap,exc,set"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	0	1	2		100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	0				100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	0				100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	0				100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	0				100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	0				100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	0				100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	0				100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	0				100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ral Rune + 1 Jewel + 1 Superior Armor -> Tempered Armor	1				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Weapon -> Tempered Weapon	1				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + Magic Ring -> Tempered Ring	1				100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
1 Ral Rune + 1 Jewel + 1 Magic Amulet -> Tempered Amulet	1				100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
1 El Rune + 1 Chipped Gem (Any) + 1 Tempered Weapon -> Weapon With Extra Attack Rating	1				100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Amulet -> Virulent Amulet	1				100					4	"amu,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Ring -> Virulent Ring	1				100					4	"ring,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Helm -> Virulent Helm	1				100					4	"helm,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Boots -> Virulent Boots	1				100					4	"boot,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Gloves -> Virulent Gloves	1				100					4	"glov,mag"	r18	gpg	xa1				"useitem,pre=674"				pierce-pois			1	3																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Armor -> Virulent Armor	1				100					4	"tors,mag"	r18	gpg	xa1				"useitem,pre=676"				pierce-pois			2	8																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Weapon -> Virulent Weapon	1				100					4	"weap,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Magic Shield -> Virulent Shield	1				100					4	"shie,mag"	r18	gpg	xa1				"useitem,pre=675"				pierce-pois			1	4																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Small Charm -> Virulent Small Charm	1				100					4	"scha,mag"	r18	gpg	xa1				"useitem,pre=671"				pierce-pois			1	1																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Western Worldstone Shard + 1 Large Charm -> Virulent Large Charm	1				100					4	"mcha,mag"	r18	gpg	xa1				"useitem,pre=673"				pierce-pois			1	2																																																																															0
1 Ko Rune + 1 Perfect Emerald + 1 Uber Ancient Summon Material Act1 + 1 Rotting Fissure -> Virulent Rotting Fissure	1				100					4	PreCrafted Rotting Fissure	r18	gpg	xa1				Crafted Rotting Fissure	69																																																																																						0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Amulet -> Gelid Amulet	1				100					4	"amu,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Ring -> Gelid Ring	1				100					4	"ring,mag"	r17	gpb	xa2				"useitem,pre=683"				pierce-cold			1	2																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Helm -> Gelid Helm	1				100					4	"helm,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Boots -> Gelid Boots	1				100					4	"boot,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Gloves -> Gelid Gloves	1				100					4	"glov,mag"	r17	gpb	xa2				"useitem,pre=684"				pierce-cold			1	3																																																																															0
1 Lum Rune + 1 Perfect Sapphire + 1 Eastern Worldstone Shard + 1 Magic Armor -> Gelid Armor	1				100					4	"tors,mag"	r17	gpb	xa2				"useitem,pre=686"				pierce-cold			2	8																																																																															0
