ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol	*skillID	*CTC	UICategory	RunewordCategory1	RunewordCategory2	Restricted
A136	A136			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev4				
A137	A137			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev5				
A138	A138			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev6				
A139	A139			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev7				
A140	A140			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev8				
A141	A141			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev9				
A142	A142			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev10				
A143	A143			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev11				
A144	A144			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev12				
A145	A145			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev13				
A146	A146			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev14				
A147	A147			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev15				
A148	A148			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev16				
A149	A149			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev17				
A150	A150			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev18				
A151	A151			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev19				
A152	A152			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev20				
A153	A153			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev21				
A154	A154			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev22				
A155	A155			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev23				
A156	A156			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev24				
A157	A157			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev25				
A158	A158			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev26				
A159	A159			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev27				
A160	A160			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev28				
A161	A161			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev29				
A162	A162			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev30				
A163	A163			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev31				
A164	A164			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev32				
A165	A165			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev33				
A166	A166			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev34				
A167	A167			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev35				
A168	A168			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev36				
A169	A169			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev37				
A170	A170			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev38				
A171	A171			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev39				
A172	A172			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev40				
A173	A173			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev41				
A174	A174			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev42				
A175	A175			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev43				
A176	A176			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev44				
A177	A177			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev45				
A178	A178			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev46				
A179	A179			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev47				
A180	A180			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev48				
A181	A181			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev49				
A182	A182			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev50				
A183	A183			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev51				
A184	A184			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev52				
A185	A185			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev53				
A186	A186			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev54				
A187	A187			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev55				
A188	A188			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev56				
A189	A189			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev57				
A190	A190			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev58				
A191	A191			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev59				
A192	A192			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev60				
A193	A193			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev61				
A194	A194			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev62				
A195	A195			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 18 lev63				
A196	A196			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev0				
A197	A197			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev1				
A198	A198			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev2				
A199	A199			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev3				
A200	A200			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev4				
A201	A201			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev5				
A202	A202			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev6				
A203	A203			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev7				
A204	A204			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev8				
A205	A205			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev9				
A206	A206			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev10				
A207	A207			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev11				
A208	A208			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev12				
A209	A209			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev13				
A210	A210			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev14				
A211	A211			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev15				
A212	A212			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev16				
A213	A213			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev17				
A214	A214			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev18				
A215	A215			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev19				
A216	A216			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev20				
A217	A217			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev21				
A218	A218			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev22				
A219	A219			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev23				
A220	A220			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev24				
A221	A221			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev25				
A222	A222			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev26				
A223	A223			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev27				
A224	A224			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev28				
A225	A225			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev29				
A226	A226			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev30				
A227	A227			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev31				
A228	A228			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev32				
A229	A229			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev33				
A230	A230			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev34				
A231	A231			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev35				
A232	A232			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev36				
A233	A233			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev37				
A234	A234			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev38				
A235	A235			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev39				
A236	A236			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev40				
A237	A237			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev41				
A238	A238			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev42				
A239	A239			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev43				
A240	A240			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev44				
A241	A241			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev45				
A242	A242			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev46				
A243	A243			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev47				
A244	A244			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev48				
A245	A245			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev49				
A246	A246			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev50				
A247	A247			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev51				
A248	A248			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev52				
A249	A249			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev53				
A250	A250			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev54				
A251	A251			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev55				
A252	A252			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev56				
A253	A253			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev57				
A254	A254			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev58				
A255	A255			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev59				
A256	A256			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev60				
A257	A257			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev61				
A258	A258			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev62				
A259	A259			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 19 lev63				
A260	A260			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev0				
A261	A261			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev1				
A262	A262			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev2				
A263	A263			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev3				
A264	A264			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev4				
A265	A265			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev5				
A266	A266			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev6				
A267	A267			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev7				
A268	A268			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev8				
A269	A269			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev9				
A270	A270			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev10				
A271	A271			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev11				
A272	A272			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev12				
A273	A273			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev13				
A274	A274			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev14				
A275	A275			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev15				
A276	A276			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev16				
A277	A277			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev17				
A278	A278			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev18				
A279	A279			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev19				
A280	A280			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev20				
A281	A281			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev21				
A282	A282			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev22				
A283	A283			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev23				
A284	A284			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev24				
A285	A285			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev25				
A286	A286			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev26				
A287	A287			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev27				
A288	A288			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev28				
A289	A289			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev29				
A290	A290			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev30				
A291	A291			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev31				
A292	A292			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev32				
A293	A293			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev33				
A294	A294			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev34				
A295	A295			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev35				
A296	A296			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev36				
A297	A297			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev37				
A298	A298			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev38				
A299	A299			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev39				
A300	A300			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev40				
A301	A301			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev41				
A302	A302			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev42				
A303	A303			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev43				
A304	A304			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev44				
A305	A305			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev45				
A306	A306			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev46				
A307	A307			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev47				
A308	A308			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev48				
A309	A309			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev49				
A310	A310			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev50				
A311	A311			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev51				
A312	A312			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev52				
A313	A313			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev53				
A314	A314			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev54				
A315	A315			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev55				
A316	A316			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev56				
A317	A317			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev57				
A318	A318			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev58				
A319	A319			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev59				
A320	A320			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev60				
A321	A321			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev61				
A322	A322			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev62				
A323	A323			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 20 lev63				
A324	A324			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev0				
A325	A325			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev1				
A326	A326			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev2				
A327	A327			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev3				
A328	A328			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev4				
A329	A329			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev5				
A330	A330			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev6				
A331	A331			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev7				
A332	A332			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev8				
A333	A333			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev9				
A334	A334			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev10				
A335	A335			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev11				
A336	A336			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev12				
A337	A337			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev13				
A338	A338			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev14				
A339	A339			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev15				
A340	A340			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev16				
A341	A341			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev17				
A342	A342			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev18				
A343	A343			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev19				
A344	A344			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev20				
A345	A345			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev21				
A346	A346			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev22				
A347	A347			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev23				
A348	A348			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev24				
A349	A349			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev25				
A350	A350			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev26				
A351	A351			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev27				
A352	A352			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev28				
A353	A353			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev29				
A354	A354			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev30				
A355	A355			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev31				
A356	A356			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev32				
A357	A357			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev33				
A358	A358			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev34				
A359	A359			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev35				
A360	A360			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev36				
A361	A361			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev37				
A362	A362			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev38				
A363	A363			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev39				
A364	A364			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev40				
A365	A365			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev41				
A366	A366			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev42				
A367	A367			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev43				
A368	A368			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev44				
A369	A369			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev45				
A370	A370			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev46				
A371	A371			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev47				
A372	A372			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev48				
A373	A373			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev49				
A374	A374			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev50				
A375	A375			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev51				
A376	A376			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev52				
A377	A377			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev53				
A378	A378			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev54				
A379	A379			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev55				
A380	A380			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev56				
A381	A381			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev57				
A382	A382			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev58				
A383	A383			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev59				
A384	A384			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev60				
A385	A385			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev61				
A386	A386			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev62				
A387	A387			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 21 lev63				
A388	A388			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev0				
A389	A389			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev1				
A390	A390			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev2				
A391	A391			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev3				
A392	A392			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev4				
A393	A393			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev5				
A394	A394			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev6				
A395	A395			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev7				
A396	A396			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev8				
A397	A397			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev9				
A398	A398			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev10				
A399	A399			0	0					0	0	0	1			1	0	0	25	0	40	0	0	3			0							misc	0		id 22 lev11				
