description	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Charsi Hammer + Larzuk Hammer  + Standard of Heros + 1 Exceptional Crafted Armor -> Elite Crafted Armor	1				100					4	armo,exc,crf	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Set Weapon -> Exceptional Set Weapon	1				100					3	weap,bas,set	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer + 1 Normal Set Armor -> Exceptional Set Armor	1				100					3	armo,bas,set	mls	lmr					useitem,mod,exc																																																																																							0
Charsi Hammer + Larzuk Hammer  +  Standard of Heros + 1 Exceptional Set Weapon -> Elite Set Weapon	1				100					4	weap,exc,set	mls	lmr	std				useitem,mod,eli																																																																																							0
Charsi Hammer + Larzuk Hammer  +  Standard of Heros + 1 Exceptional Set Armor -> Elite Set Armor	1				100					4	armo,exc,set	mls	lmr	std				useitem,mod,eli																																																																																							0
New Ascension Crafting																																																																																																									0
1 Magic Full Helm + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Helm	1				100					4	helm,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	att%	100		100	100	pierce	100		10	50																																																																0
1 Magic Full Helm + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire  + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Helm	1				100					6	helm,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	att%	100		100	100	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Full Helm + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Helm	1				100					4	helm,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	att%	100		100	100	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Chain Boots + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Boots	1				100					4	boot,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			10	10	dex			10	15	pierce	100		10	50																																																																0
1 Magic Chain Boots + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Boots	1				100					6	boot,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	balance1			10	10	dex			10	15	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Chain Boots + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Boots	1				100					4	boot,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			10	10	dex			10	15	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Chain Gloves + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Gloves	1				100					4	glov,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	knock			1	1	pierce	100		10	50																																																																0
1 Magic Chain Gloves + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Gloves	1				100					6	glov,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	knock			1	1	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Chain Gloves + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Gloves	1				100					4	glov,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	knock			1	1	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Heavy Belt + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Belt	1				100					4	belt,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	dmg-to-mana			20	20	pierce	100		10	50																																																																0
1 Magic Heavy Belt + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Belt	1				100					6	belt,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	dmg-to-mana			20	20	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Heavy Belt + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Belt	1				100					4	belt,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	balance1			20	20	dmg-to-mana			20	20	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Gothic Shield + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Shield	1				100					4	shld,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	block1	100		30	30	block	100		20	20	pierce	100		10	50																																																																0
1 Magic Gothic Shield + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Shield	1				100					6	shld,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	block1	100		30	30	block	100		20	20	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Gothic Shield + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Shield	1				100					4	shld,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	block1	100		30	30	block	100		20	20	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Field Plate + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Body	1				100					4	tors,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	dmg%			35	60	balance1			30	40	pierce	100		10	50																																																																0
1 Magic Field Plate + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Body	1				100					6	tors,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	dmg%			35	60	balance1			30	40	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Field Plate + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Body	1				100					4	tors,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	dmg%			35	60	balance1			30	40	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Amulet	1				100					4	amul,mag	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	att%			50	100	balance1			15	20	pierce	100		10	50																																																																0
1 Magic Ring + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Ring	1				100					4	ring,mag	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	dmg-max			5	20	dex%			5	10	pierce	100		10	50																																																																0
1 Magic Blunt Weapon + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Weapon	1				100					4	weap,mag,noe	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	dmg%			75	125	pierce	100		10	50																																																																0
1 Magic Blunt Weapon + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire + 1 Eth Rune + 1 Chasi's Malus -> Ascended Hit Power Weapon	1				100					6	weap,mag,noe	jew	r18	gab	r05	mls		usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	dmg%			75	125	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Blunt Weapon + 1 Jewel + 1 Ko Rune + 1 Ascended Sapphire -> Ascended Hit Power Weapon	1				100					4	weap,mag,eth	jew	r18	gab				usetype,crf		50	50	gethit-skill		66	10	20	reduce-ac			15	20	dmg%			75	125	pierce	100		10	50	ethereal	100		1	1																																																											0
1 Magic Helm + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Helm	1				100					4	helm,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	deadly			15	25	pierce-dmg	100		2	8																																																																0
1 Magic Helm + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby  + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Helm	1				100					6	helm,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	deadly			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Helm + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Helm	1				100					4	helm,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	deadly			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Light Plated Boots + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Boots	1				100					4	boot,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	vit%			3	10	pierce-dmg	100		2	8																																																																0
1 Magic Light Plated Boots + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Boots	1				100					6	boot,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	vit%			3	10	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Light Plated Boots + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Boots	1				100					4	boot,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	vit%			3	10	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Gloves	1				100					4	glov,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8																																																																0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Gloves	1				100					6	glov,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Heavy Gloves + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Gloves	1				100					4	glov,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	crush			5	15	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Belt	1				100					4	belt,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8																																																																0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Belt	1				100					6	belt,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Belt + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Belt	1				100					4	belt,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	openwounds			15	25	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Spiked Shield + 1 Jewel + 1 FalRune + 1 Ascended Ruby -> Ascended Blood Shield	1				100					4	shld,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8																																																																0
1 Magic Spiked Shield + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Shield	1				100					6	shld,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Spiked Shield + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Shield	1				100					4	shld,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	kick			5	35	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Body	1				100					4	tors,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8																																																																0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Body	1				100					6	tors,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Plate Mail + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Body	1				100					4	tors,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	noheal			1	1	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Amulet	1				100					4	amul,mag	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	move1			10	25	pierce-dmg	100		2	8																																																																0
1 Magic Ring + 1 Jewel + 1 Fal Rune + 1 Ascended Ruby -> Ascended Blood Ring	1				100					4	ring,mag	jew	r19	gar				usetype,crf		50	50	lifesteal			2	9	hp			50	100	str%			1	10	pierce-dmg	100		2	8																																																																0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby -> Ascended Blood Weapon	1				100					4	weap,mag,noe	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8																																																																0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby + 1 Eth Rune + 1 Chasi's Malus -> Ascended Blood Weapon	1				100					6	weap,mag,noe	jew	r19	gar	r05	mls		usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Axe + 1 Jewel + Fal Rune + 1 Ascended Ruby -> Ascended Blood Weapon	1				100					4	weap,mag,eth	jew	r19	gar				usetype,crf		50	50	lifesteal			3	9	hp			50	100	dmg%			75	100	pierce-dmg	100		2	8	ethereal	100		1	1																																																											0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Helm	1				100					4	helm,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Helm	1				100					6	helm,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Mask + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Helm	1				100					4	helm,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	1	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Boots	1				100					4	boot,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12																																																																0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Boots	1				100					6	boot,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Boots + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Boots	1				100					4	boot,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Gloves	1				100					4	glov,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Gloves	1				100					6	glov,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Leather Gloves + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Gloves	1				100					4	glov,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Belt	1				100					4	belt,mag,noe	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Belt	1				100					6	belt,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Belt + 1 Jewel + Lum Rune + 1 Ascended Amethyst -> Ascended Caster Belt	1				100					4	belt,mag,eth	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Shield	1				100					4	shld,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	allskills	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Shield	1				100					6	shld,mag,noe	jew	r17	gav	mls	r05		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Small Shield + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Shield	1				100					4	shld,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	block			20	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Body	1				100					4	tors,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12																																																																0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Body	1				100					6	tors,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Light Plate + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Body	1				100					4	tors,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	25	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Amulet + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Amulet	1				100					4	amul,mag	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	cast1			5	10	gethit-skill	100	235	5	12																																																																0
1 Magic Ring + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Ring	1				100					4	ring,mag	jew	r17	gav				usetype,crf		50	50	mana-kill			4	10	mana%	100		10	20	enr%			1	10	gethit-skill	100	235	5	12																																																																0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Weapon	1				100					4	weap,mag,noe	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12																																																																0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst + 1 Eth Rune + 1 Chasi's Malus -> Ascended Caster Weapon	1				100					6	weap,mag,noe	jew	r17	gav	r05	mls		usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Rod + 1 Jewel + 1 Lum Rune + 1 Ascended Amethyst -> Ascended Caster Weapon	1				100					4	weap,mag,eth	jew	r17	gav				usetype,crf		50	50	allskills	100		1	2	mana%	100		10	20	cast1			10	20	gethit-skill	100	235	5	12	ethereal	100		1	1																																																											0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Helm	1				100					4	helm,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Helm	1				100					6	helm,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Crown + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Helm	1				100					4	helm,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Boots	1				100					4	boot,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Boots	1				100					6	boot,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Plated Boots + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Boots	1				100					4	boot,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd -> Ascended Safety Gloves	1				100					4	glov,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Gloves	1				100					6	glov,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Gauntlets + 1 Jewel + 1 Lem Rune + 1 Ascended EmeLemd -> Ascended Safety Gloves	1				100					4	glov,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Belt	1				100					4	belt,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150																																																																0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Belt	1				100					6	belt,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Sash + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Belt	1				100					4	belt,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg			5	8	res-curse	100		10	10	res-all			10	20	ac%			50	150	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Shield	1				100					4	shld,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald + 1 Eth Rune + 1 Chasi's Malus -> Ascended Safety Shield	1				100					6	shld,mag,noe	jew	r20	geg	r05	mls		usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25	ethereal	100		1	1																																																											0
1 Magic Kite Shield + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Shield	1				100					4	shld,mag,eth	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	25	res-curse	100		10	10	res-all			10	30	red-dmg%			5	25	ethereal	100		1	1																																																											0
1 Magic Breast Plate + 1 Jewel + 1 Lem Rune + 1 Ascended Emerald -> Ascended Safety Body	1				100					4	tors,mag,noe	jew	r20	geg				usetype,crf		50	50	red-dmg%			5	30	res-curse	100		10	10	res-all			10	30	red-dmg%			5	30																																																																0
